,PARAMETER,DATA_REPOSITORY,INCLUDE,PARAMETER_GENERAL
99047,Bioassay(Pass/Fail):Daphnia Magna,Environmental Monitoring System,,
67033,Biochemical Oxygen Demand,Environmental Monitoring System,,
266775,Biomass;dry wt @105C,Environmental Monitoring System,,
266792,Biomass;fixed @ 550C,Environmental Monitoring System,,
11001,Bismuth Extractable,Environmental Monitoring System,,
1661374,"BOD, 5-day",Columbia Basin Waterhub,,
3784,Boron Extractable,Environmental Monitoring System,,
427242,Bromide Extractable,Environmental Monitoring System,,
454,Cadmium Extractable,Environmental Monitoring System,,
250,Calcium Extractable,Environmental Monitoring System,,
505,Cerium Dissolved,Environmental Monitoring System,,
8267,Cerium Extractable,Environmental Monitoring System,,
6749,Cesium Extractable,Environmental Monitoring System,,
737464,Chemical Oxygen Demand,Environmental Monitoring System,,
1661375,Chemical Oxygen Demand,Columbia Basin Waterhub,,
174322,Chemical Oxygen Demand - Soluble,Environmental Monitoring System,,
61318,Chlorophyll A,Environmental Monitoring System,,
1046,Chromium Extractable,Environmental Monitoring System,,
174964,Chrysene,Environmental Monitoring System,,
1376,Cobalt Extractable,Environmental Monitoring System,,
734,Color Apparent,Environmental Monitoring System,,
233,Color S./W. Diss.,Environmental Monitoring System,,
9,Color TAC,Environmental Monitoring System,,
106,Color True,Environmental Monitoring System,,
1990950,Colour (True),CABIN,,
5152,Copper Extractable,Environmental Monitoring System,,
62999,Cyanide Dissolved,Environmental Monitoring System,,
61273,Cyanide S.A.D.,Environmental Monitoring System,,
174849,Dibenzo(a;h)anthracene,Environmental Monitoring System,,
1005606,Dimethyl Diselenide [DMDSe]; as Se,Environmental Monitoring System,,
1005149,Dimethyl Selenide [DMSe]; as Se,Environmental Monitoring System,,
73003,Dimethylseleneoxide,Environmental Monitoring System,,
14135,Dissolved Oxygen-Field,Environmental Monitoring System,2,Oxygen Dissolved
1697087,Elements,Columbia Basin Waterhub,,
3482,Enterococcus,Environmental Monitoring System,,
1661424,EPHw10-19,Columbia Basin Waterhub,,
1661425,EPHw19-32,Columbia Basin Waterhub,,
6900,Extinction Depth,Environmental Monitoring System,,
99381,Fish Bioassay(Pass/Fail),Environmental Monitoring System,,
155,Flow (Rate),Environmental Monitoring System,,
174211,Fluoranthene,Environmental Monitoring System,,
174690,Fluorene,Environmental Monitoring System,,
3561,Gallium Extractable,Environmental Monitoring System,,
2272,Hardness Total (Extractable),Environmental Monitoring System,,
6265,Hardness Total (Total),Environmental Monitoring System,,
134079,Heavy Extractable Petroleum Hydrocarbons,Environmental Monitoring System,,
85045,Hydrocarbons;Extract,Environmental Monitoring System,,
174270,Hydrocarbons;Petroleum,Environmental Monitoring System,,
130165,Hydrogen Peroxide,Environmental Monitoring System,,
1662432,Hydroxide,Columbia Basin Waterhub,,
700710,Hydroxide Alkalinity (as CaCO3),Environmental Monitoring System,,
201622,Indeno(1;2;3-cd)pyrene,Environmental Monitoring System,,
7255,Iron Extractable,Environmental Monitoring System,,
104,Lanthanum Dissolved,Environmental Monitoring System,,
12510,Lanthanum Extractable,Environmental Monitoring System,,
462,Lathanum Total,Environmental Monitoring System,,
641,Lead Extractable,Environmental Monitoring System,,
145728,Light Extractable Petroleum Hydrocarbons,Environmental Monitoring System,,
2616,Lithium Extractable,Environmental Monitoring System,,
105,Magnesium Extract.,Environmental Monitoring System,,
4031,Manganese Extractble,Environmental Monitoring System,,
5654,Mercury Extractable,Environmental Monitoring System,,
444854,Met.Tert.Butyl Ether,Environmental Monitoring System,,
79688,Methaneselenonic Acid CH4O3Se,Environmental Monitoring System,,
67378,methylseleninic acid CH3SeO2H,Environmental Monitoring System,,
179502,Moisture,Environmental Monitoring System,,
7382,Molybdenum Extractable,Environmental Monitoring System,,
175191,NA,Environmental Monitoring System,,
1774110,NA,Columbia Basin Waterhub,,
174403,Naphthalene (C10H8),Environmental Monitoring System,,
1245,Nickel Extractable,Environmental Monitoring System,,
165,Niobium Dissolved,Environmental Monitoring System,,
7696,Niobium Extractable,Environmental Monitoring System,,
464,Niobium Total,Environmental Monitoring System,,
32,Nitrogen (Kjeldahl) Total Dissolved,Environmental Monitoring System,,
303,Nitrogen Kjel.Tot(N),Environmental Monitoring System,,
1661376,"Nitrogen, Total Kjeldahl ",Columbia Basin Waterhub,,
61094,Oil & Grease,Environmental Monitoring System,,
700363,Organics Special,Environmental Monitoring System,,
1988962,Ortho Phosphorus (ortho-P dissolved),CABIN,,
1661614,Orthophosphate (P),Columbia Basin Waterhub,,
1204597,Oxid. Red. Potential,Environmental Monitoring System,,
173996,Oxid. Red. Potential- Field,Environmental Monitoring System,,
1311619,Ozone for water,Environmental Monitoring System,,
204688,PAH's; High Molecular Weight,Environmental Monitoring System,,
185952,PAH's; Low Molecular Weight,Environmental Monitoring System,,
229,Palladium Dissolved,Environmental Monitoring System,,
5629,Part. Size >400 Mesh,Environmental Monitoring System,,
49138,Part. Size 100 Mesh,Environmental Monitoring System,,
44160,Part. Size 140 Mesh,Environmental Monitoring System,,
43240,Part. Size 16 Mesh,Environmental Monitoring System,,
28113,Part. Size 200 Mesh,Environmental Monitoring System,,
29995,Part. Size 270 Mesh,Environmental Monitoring System,,
47419,Part. Size 30 Mesh,Environmental Monitoring System,,
41381,Part. Size 400 Mesh,Environmental Monitoring System,,
46528,Part. Size 50 Mesh,Environmental Monitoring System,,
421660,Part.Ash:Total,Environmental Monitoring System,,
61512,Phaeophytin A,Environmental Monitoring System,,
174143,Phenanthrene,Environmental Monitoring System,,
928,Phenols,Environmental Monitoring System,,
67666,pH-Field,Environmental Monitoring System,,
19,Phosphorus Ort.Dis-P,Environmental Monitoring System,,
418,Phosphorus Ortho,Environmental Monitoring System,,
629,Platinum Dissolved,Environmental Monitoring System,,
22790,Platinum Extractable,Environmental Monitoring System,,
159,Platinum Total,Environmental Monitoring System,,
28,Potassium Extractable,Environmental Monitoring System,,
176151,Pyrene,Environmental Monitoring System,,
176581,Quinoline aka Benzo(b)pyridine,Environmental Monitoring System,,
40,Residue: Filterable 1.0u (TDS),Environmental Monitoring System,,
642,Residue: Fixed Filterable (TDS; Fixed),Environmental Monitoring System,,
936,Residue: Fixed Non-filterable (TSS; Fixed),Environmental Monitoring System,,
95,Residue: Non-filterable (TSS),Environmental Monitoring System,,
272,Residue: Total (Total Solids),Environmental Monitoring System,,
49040,Residue: Total Fixed (Total Solids; Fixed),Environmental Monitoring System,,
2712,Residue: Volatile Non-filterable (TSS; Volatile),Environmental Monitoring System,,
97,Residue: VolatileFilt (TDS; Volatile),Environmental Monitoring System,,
47,Rubidium Dissolved,Environmental Monitoring System,,
3674,Rubidium Extractable,Environmental Monitoring System,,
42,Rubidium Total,Environmental Monitoring System,,
70884,selenate SeO4(-2),Environmental Monitoring System,,
66193,selenite SeO3(-2),Environmental Monitoring System,,
1462,Selenium Extractable,Environmental Monitoring System,,
66728,selenocyanate SeCN(-1),Environmental Monitoring System,,
70926,selenomethionine CH3SeCH2CH2CH(NH2)CO2H,Environmental Monitoring System,,
73689,Selenosulfate,Environmental Monitoring System,,
10363,Silica Reactive,Environmental Monitoring System,,
20,Silica Reactive Diss,Environmental Monitoring System,,
2267,Silicon Extractable,Environmental Monitoring System,,
15846,Silver Extractable,Environmental Monitoring System,,
24,Sodium Extractable,Environmental Monitoring System,,
1989319,Specific Conductance @ 25 deg C,CABIN,,
64766,Specific Conductivity-Field,Environmental Monitoring System,,
1988926,Stream or Lake Surface Temperature,CABIN,,
246245,Streptococcus -Fecal,Environmental Monitoring System,,
5222,Strontium Extractable,Environmental Monitoring System,,
34508,Surfactants,Environmental Monitoring System,,
2865,Surfactants Diss.,Environmental Monitoring System,,
247343,Tannin &Lignin Total,Environmental Monitoring System,,
113,Temperature (Air),Environmental Monitoring System,,
1507,Thallium Extractable,Environmental Monitoring System,,
36153,Tin Extractable,Environmental Monitoring System,,
1988919,"Total Dissolved Solids, filterable residue",CABIN,,
1989259,Total Kjeldahl Nitrogen (calculated),CABIN,,
178267,Total Polyaromatic Hydrocarbons,Environmental Monitoring System,,
25091,Tungsten Extractable,Environmental Monitoring System,,
66964,Unknown Selenium Species,Environmental Monitoring System,,
156,Uranium Extractable,Environmental Monitoring System,,
1825,Vanadium Extractable,Environmental Monitoring System,,
136630,Water Level,Environmental Monitoring System,,
30,Yttrium Dissolved,Environmental Monitoring System,,
10789,Yttrium Extractable,Environmental Monitoring System,,
38,Yttrium Total,Environmental Monitoring System,,
2623,Zinc-Extractable,Environmental Monitoring System,,
