,PARAMETER,DATA_REPOSITORY,INCLUDE,PARAMETER_GENERAL
481,Cesium Total,Environmental Monitoring System,1,Cesium Total
1661417,Chloride,Columbia Basin Waterhub,2,Chloride Total
110,Chloride Dissolved,Environmental Monitoring System,2,Chloride Dissolved
58730,Chloride Total,Environmental Monitoring System,2,Chloride Total
1662690,Chromium,Columbia Basin Waterhub,1,Chromium Total
286,Chromium Dissolved,Environmental Monitoring System,1,Chromium Dissolved
164,Chromium Total,Environmental Monitoring System,1,Chromium Total
1988945,Chromium Total,CABIN,1,Chromium Total
1661340,"Chromium, dissolved",Columbia Basin Waterhub,1,Chromium Dissolved
1661388,"Chromium, total",Columbia Basin Waterhub,1,Chromium Total
1661637,"Chromium, Total",Columbia Basin Waterhub,1,Chromium Total
1662043,"Cobal, Total",Columbia Basin Waterhub,1,Cobalt Total
1662696,Cobalt,Columbia Basin Waterhub,1,Cobalt Total
36,Cobalt Dissolved,Environmental Monitoring System,1,Cobalt Dissolved
56,Cobalt Total,Environmental Monitoring System,1,Cobalt Total
1988957,Cobalt Total,CABIN,1,Cobalt Total
1661341,"Cobalt, dissolved",Columbia Basin Waterhub,1,Cobalt Dissolved
1661389,"Cobalt, total",Columbia Basin Waterhub,1,Cobalt Total
1661638,"Cobalt, Total",Columbia Basin Waterhub,1,Cobalt Total
283,Coliform - Fecal,Environmental Monitoring System,2,Coliform Fecal
8810,Coliform - Total,Environmental Monitoring System,2,Coliform Total
1988933,Conductivity,CABIN,2,Conductivity
1662702,Copper,Columbia Basin Waterhub,1,Copper Total
179,Copper Dissolved,Environmental Monitoring System,1,Copper Dissolved
14,Copper Total,Environmental Monitoring System,1,Copper Total
1988929,Copper Total,CABIN,1,Copper Total
1661342,"Copper, dissolved",Columbia Basin Waterhub,1,Copper Dissolved
1661390,"Copper, total",Columbia Basin Waterhub,1,Copper Total
1661639,"Copper,Total",Columbia Basin Waterhub,1,Copper Total
1650683,Discharge,BC Data Catalogue,2,Flow
1662840,Discharge,Columbia Basin Waterhub,2,Flow
1988950,Dissolved Chloride,CABIN,1,Chloride Dissolved
1992625,Dissolved Inorganic Carbon,CABIN,2,Carbon Dissolved Inorganic
1697046,Dissolved Nitrate (NO3),Columbia Basin Waterhub,2,Nitrate Dissolved
1697048,Dissolved Nitrite (NO2),Columbia Basin Waterhub,2,Nitrite Dissolved
1990182,Dissolved Organic Carbon,CABIN,2,Carbon Dissolved Organic
1988961,Dissolved Oxygen,CABIN,2,Oxygen Dissolved
86,E Coli,Environmental Monitoring System,2,E Coli
1662024,E.Coli DST,Columbia Basin Waterhub,2,E Coli
1461414,Flow,Water Survey Canada,2,Flow
65026,Flow (Avg),Environmental Monitoring System,2,Flow
1661517,Fluoride,Columbia Basin Waterhub,1,Fluoride Total
1989705,Fluoride,CABIN,1,Fluoride Total
52,Fluoride Dissolved,Environmental Monitoring System,1,Fluoride Dissolved
255,Fluoride Total,Environmental Monitoring System,1,Fluoride Total
44,Gallium Dissolved,Environmental Monitoring System,1,Gallium Dissolved
573,Gallium Total,Environmental Monitoring System,1,Gallium Total
1662578,Hardness,Columbia Basin Waterhub,1,Hardness
1988939,Hardness (calculated as CaCO3),CABIN,1,Hardness
1,Hardness (Dissolved) (as CaCO3),Environmental Monitoring System,1,Hardness
1661327,"Hardness, Total (as CaCO3)",Columbia Basin Waterhub,1,Hardness
1662708,Iron,Columbia Basin Waterhub,2,Iron Total
276,Iron Dissolved,Environmental Monitoring System,2,Iron Dissolved
144,Iron Total,Environmental Monitoring System,2,Iron Total
1988930,Iron Total,CABIN,2,Iron Total
1661343,"Iron, dissolved",Columbia Basin Waterhub,2,Iron Dissolved
1661391,"Iron, total",Columbia Basin Waterhub,2,Iron Total
1661640,"Iron, Total",Columbia Basin Waterhub,2,Iron Total
1662714,Lead,Columbia Basin Waterhub,2,Lead Total
275,Lead Dissolved,Environmental Monitoring System,2,Lead Dissolved
60,Lead Total,Environmental Monitoring System,2,Lead Total
1988938,Lead Total,CABIN,2,Lead Total
1661344,"Lead, dissolved",Columbia Basin Waterhub,2,Lead Dissolved
